الاسم,الفئة,الكمية,البيع قطاعي,البيع جملة,التكلفة,الكود,حد الطلب
اكس ايكو استعمال,وان > وان,0,0,0,,100061,0
اكس تركي بلية 2&3,وان > وان,0,500,450,380,100407,0
اكس تركي بلية 3&5,وان > وان,0,500,450,380,100408,0
اكس تركي بليه 5&6,وان > وان,0,550,450,390,100411,0
اكس زانوسي العبد ايطالى سيرفيس,وان > وان,0,470,450,410,100160,0
اكس فيكتوريا 1400 لفة زانوسي اصلى,الكترولوكس,0,1100,1050,1000,100179,0
اكس فيكتوريا G20 اصلى*,الكترولوكس,0,900,850,800,100180,0
اكس فيكتوريا G22 اصلى,الكترولوكس,0,1000,950,900,100181,0
اكس فيكتوريا بطيخه خارج شركه,وان > وان,0,550,480,430,100489,0
اكس فيكتوريا بليه5&6 خارج شركه,وان > وان,0,0,0,,100490,0
اوفرلود توشيبا اصلي,وان > وان,0,0,0,,100237,0
اوكره كومفورت,وان > وان,0,0,0,,100492,0
اويل سيل 14 فرط ايطالي,وان > وان,50,50,35,29,100222,0
اويل سيل 18 -25/47 ايطالي,العبودي,0,70,55,50,100370,0
اويل سيل 30*55 كريازى ايطالى,وان > وان,0,70,55,50,100493,0
اويل سيل 30*52 الروضة,وان > وان,0,60,50,42,,0
اويل سيل 52*30*10 تايوان,وان > وان,0,50,30,20,100227,0
اويل سيل 52*35*10 تايوان,وان > وان,0,50,30,20,100228,0
اويل سيل 56*35*10 تايوان,وان > وان,0,50,30,20,100229,0
اويل سيل 62*35*10 تايوان,وان > وان,0,50,30,20,100230,0
اويل سيل 65.5*35*12,وان > وان,0,150,120,95,100161,0
اويل سيل 66*37*10 تايوان,وان > وان,0,50,30,20,100231,0
اويل سيل 66*40*10 تيوان,وان > وان,0,50,30,20,100232,0
اويل سيل 72*40 تايوان,وان > وان,0,60,40,30,100233,0
اويل سيل 88*47 تايوان,وان > وان,0,70,50,30,100234,0
اويل سيل LG اصلى,وان > وان,0,100,90,60,100045,0
اويل سيل LG وان,وان > وان,0,100,85,75,100421,0
اويل سيل ايطالي10*52*30 ايطالي,وان > وان,0,65,55,50.5,100162,0
اويل سيل ايليت ايطالى فرط,وان > وان,0,80,60,55,100223,0
اويل سيل اوتو بصامولة 12مل,العبودي,10,50,35,24,011ظ502,1
اويل سيل تورنيدو,وان > وان,0,40,30,25,100494,0
اويل سيل توشيبا 3ك 10ص,وان > وان,0,40,35,30,100163,0
اويل سيل رباط بصمولة نيو ستار,وان > وان,0,60,50,43,100414,0
اويل سيل زانوسي 18,وان > وان,0,65,55,50.5,100164,0
اويل سيل عصارة توشيبا صيني,وان > وان,0,40,30,25,100371,0
اويل سيل عصاره توشيبا اصلي,وان > وان,0,80,70,60,100238,0
اويل سيل عصاره توشيبا كوبي,وان > وان,0,60,50,44,100359,0
اويل سيل فريش اصلي,وان > وان,0,60,50,44,100362,0
اويل سيل فريش بصاموله,وان > وان,0,60,50,43,100347,0
اويل سيل فيكتوريا بدون تغليف,وان > وان,0,90,75,60,100360,0
اويل سيل فيكتوريا تايوان 35*62,وان > وان,0,40,30,20,100235,0
اويل سيل فيكتوريا زانوسي اصلى g22*,الكترولوكس,0,140,130,125,100182,0
اويل سيل فيكتوريا وان,وان > وان,0,120,110,100,100422,0
اويل سيل20*40 اصلي,وان > وان,0,0,0,,100224,0
اويل سيل21*40 ايطالى سيرفيس,العبودي,5,60,50,42,100225,1
اويل سيل35*52*10,وان > وان,0,50,30,20,100236,0
باب ايكو,وان > وان,0,350,350,300,100372,0
باب طومسون استعمال,وان > وان,0,250,200,150,100495,0
باب عصاره توشيبا 10ك,وان > وان,0,110,90,80,100239,0
باب عصاره توشيبا 12ك,وان > وان,0,120,95,85,100240,0
باب عصاره توشيبا 7ك,وان > وان,0,100,85,75,100241,0
باب فيكتوريا استعمال,وان > وان,0,0,0,,100496,0
بانل وايت ويل 8666 استعمال,وان > وان,0,0,0,,100497,0
بصمه اكوا,وان > وان,0,5,5,5,100498,0
بكرة ريشه سامسونج*,وان > وان,0,50,40,25,423944,0
بلي cec كندي 6203,وان > وان,0,60,50,45,100093,0
بلي cec كندي 6204,وان > وان,0,70,60,55,100094,0
بلي cec كندي 6205,وان > وان,0,80,70,65,100095,0
بلي cec كندي 6206,وان > وان,0,100,90,80,100096,0
بلي cec كندي 6306,وان > وان,0,0,0,,100097,0
بلي IKL صربيا,وان > وان,0,0,0,,100098,0
بلي kbc 6203 كوري,وان > وان,0,80,65,60,100099,0
بلي kbc كوري 6206,وان > وان,0,160,145,135,100100,0
