الاسم,الفئة,الكمية,البيع قطاعي,البيع جملة,التكلفة,الكود,حد الطلب
اكس يونيفرسال سيرفيس,العبودي,5,1100,1000,900,0,1
لسان بالقاعدة وايت ويل سيرفيس,العبودي,10,150,130,95,0,1
طقم مساعد العبد فرط,ايطالي,130,190,160,135,,0
تاكو lg فوق كيس شفاف*,متنوع,2,250,200,115,0,1
طرمبة KB,متنوع,20,0,0,0,0,0
طفم مساعد سامسونج استعمال,متنوع,99,300,250,200,100706,5
سير 1325*9.5 صن لوكس صيني,صيني,20,80,65,52,100707,5
اويل سيل 72*35 تيوان,متنوع,5,50,30,25,100708,3
اتوماتيك سيرفسlg,العبودي,0,0,0,0,148/110,0
بلية 6007zz بولندي,,0,0,0,0,029176012792,0
بلية بولندي 6005zzc3 بولندي,,0,0,0,0,029176012655,0
بلسة nsk بولندي 6204zzc3,,0,0,0,0,029176014307,0
بلي kbc6203c3,الزرقاوي,0,70,65,60,4047643208369,0
بلي nsk بولندي6305ZZC3,,0,0,0,0,029176016684,0
بلي nskبولندي6206DDU,,0,0,0,0,029176064272,0
بلي nsk بولندي6205ZZC3,,0,0,0,0,029176014413,0
بلي nsk بولندي6203ZZC3,,0,0,0,0,029176014208,0
بلي nsk بولندي 6204VV,,0,0,0,0,029176014253,0
بلي kyk 6203LLUV,الزرقاوي,0,0,0,0,4770590387855,0
بلي nsk بولندا 6306ZZ,,0,0,0,0,029176016769,0
بلي nsk بولندي 6605DDU,,0,0,0,0,029176064203,0
طقم صيانة رولمان بلي 6205 و 6206 واويل سيل*,الكترولوكس,0,400,370,350,0,0
6206 بليه   nachi 2nse9,,0,0,0,0,0,0
مفتاح امان باب فكتوريا7174,,0,0,0,0,}]ًُِ7174,0
اكسZ7M وان,وان > وان,0,1100,1050,975,100709,0
لوك باب غساله 6/7/8ك ايكو *,يونيفرسال,0,0,0,0,704010500088,0
لوك باب غسالة يونفرسل ايكو *,استار,0,0,0,0,0,0
سير 1194 ناعم الروضة*,الروضة,0,0,0,0,0,0
سير  1194 ناعم استار*,استار,0,0,0,0,0,0
حساس سامسونج او ماكس *,,0,0,0,0,123456746350,0
لوك تركي nlc استار *,,0,0,0,0,0,0
سير 1194 خشن استار*,,0,0,0,0,0,0
سير 1287 حاتم*,,0,0,0,0,030  011  032,0
سير1274*,,0,0,0,0,0,0
سير 1315*,,0,0,0,0,0,0
سير 1152 وايت بوينت مصري*,,0,0,0,0,0,0
طقم شربون رفيع سيرفس*,,0,0,0,0,135ظ301,0
طقم شربون عريض سيرفس*,,0,0,0,0,135ظ005,0
طقم مسمار اكوا,,0,0,0,0,034ظ040,0
فلتر توشيبا اصلي 8ك هاف,,0,0,0,0,06221127029468,0
لوك اكوا مانرو*,,0,0,0,0,0,0
ميزان مايه اوليمبيك,الكترولوكس,0,290,270,250,0,0
لوك اندست ديجيتال ك *,,0,0,0,0,0,0
واير 7 ك اصلي توشيبا*,,0,0,0,0,0,0
كامه 18 حاتم سيف *,,0,0,0,0,017ز005ز033,0
لوك كاندى حاتم,,0,0,0,0,006ز057ز010,0
صمام مسطرة يونفرسل واسع *,,0,0,0,0,0,0
طقم اوكر 14 حاتم,,0,0,0,0,0,0
لوك زانوسي ايجل*,,0,0,0,0,0,0
لوك زانوسي m2,وان > وان,0,290,270,250,0,0
مفصله كمفورت*,,0,0,0,0,0,0
لوك ايديال سيرفس *,,0,0,0,0,148ظ004,0
مقبض الكترولوكس وان *,,0,170,160,150,139ظ094,0
مساعد اكوا طويل,,0,0,0,0,167ظ014,0
وايت بوينت,,0,0,0,0,139ظ152,0
طنبوره ماتور 9*16 سيرفس*,العبودي,0,0,0,51,166ظ006,0
لوك زانوسي فيكتوريا*,,0,0,0,0,0}]ًُِ7174,0
لوك (اجنس) وايت ويل استار *,,0,0,0,0,0,0
لوك فاميلي وان *,,0,0,0,0,0,0
لوك كاندي حاتم*,,0,0,0,0,0,0
صمام مجوز عدل وان*,وان > وان,1000,270,240,220,1000,0
مقبض باب فيكتوريا ابيض استار *,,0,0,0,0,0,0
مقبض باب فيكتوريا نيكل استار *,,0,0,0,0,0,0
مقبض باب نيكل مصري *,,0,0,0,0,0,0
شيالة كمفورت,,0,0,0,0,0,0
طقم اوكر 18 m2 فوق واتوماتيك الروضة*,,0,0,0,0,0,0
طقم اوكر 18 m2 فوق واتوماتيك استار*,,1000,0,0,0,0,0
لوك7m استار*,,0,0,0,0,0,0
t3 بيكو سيرفس *,,0,0,0,0,0148ظ100,0
لوك m5 فيستيل وان*,,0,0,0,0,0,0
صمام مياه جميع ربورت شو زانوسي*,,0,0,0,0,01267830,0
طلمبة سيرفس *,,0,0,0,0,06224000689117,0
بودرة توشيبا 8ك فوق الجديدة*,,0,0,0,0,6221127026887,0
سير توشيبا 14 سيرفس *,,0,0,0,0,4710088412010,0
سير 18 زانوسي سيرفس *,,0,0,0,0,4710088412010,0
طلمبة kb فوق اتوماتيك*,,0,0,0,0,0,0
طلبمة gm فوق اتوماتيك*,,0,0,0,0,0,0
طلبمة وان اتوماتيك 8 ريشة*,,0,0,0,0,0,0
صمام  اكواتك سيرفس *,العبودي,0,140,125,115,153ظ012,0
صمام ktm سامسونج *,,0,0,0,0,0,0
مفتاح الغاء 18 حاتم,حاتم سيف,10,220,210,185,100710,3
فومة ثلاجة 12 توشيبا اصلي,توشيبا العربي,20,160,150,90,100711,3
فومة ثلاجة 14 توشيبا اصلي,توشيبا العربي,5,170,160,100,100712,3
كويل 14 توشيبا اصلي,توشيبا العربي,0,500,450,400,0100716,1
كويل 12 توشيبا اصلي,توشيبا العربي,1,450,400,325,100713,0
اويل سيل بصامولة اوتو,العبودي,0,70,55,42,0100714,3
سير 660 فريش اصلي,متنوع,1000,0,0,20,100715,3
لوك اكواتك وان*,وان > وان,50,200,190,175,0,0
لوك كهرباء فريجيدير وان*,,0,250,230,200,0,0
لوك شارب وان*,,0,400,380,350,0,0
ليفيل الكتروني اسود*,,0,340,320,300,0,0
مساعد اكواتيك n120*,,0,200,190,170,0,0
مساعد كريازي معدن وان*,,0,230,210,190,0,0
مساعد ايليت 4 بينز وان*,,0,290,270,240,0,0
كاوتشه وايت بوينت تركي وان*,,0,430,400,375,0,0
كاوتشه وايت بوينت ايطالي وان*,,0,700,650,620,0,0
كاوتشه كريازي وان*,,0,400,370,340,0,0
كاوشه فيكتوريا وان *,,0,700,650,600,0,0
كاوتشه زانوسي وان*,,0,360,340,320,0,0
كاوتشه العبد بكيرف وان*,,0,600,580,550,0,0
كاوتشة ال جي 3 فايظ وان*,,0,950,900,800,0,0
كاوتشه ال جي 1 فايظ وان*,,0,700,650,600,0,0
كاوتشة اكواتيك,,0,450,430,410,0,0
طلمبه ال جي اطباق وان *,,0,750,700,650,0,0
طلمبه لف ايطالي 8 رجل وان*,,0,430,410,390,0,0
طلمبه توب وان *,,0,250,230,200,0,0
صمام ثلاثي اريستون وان*,,0,450,420,385,0,0
صمام ثلاثي عدل وان*,,0,400,370,340,0,0
صمام اكوا اخضر وان*,,0,180,165,150,0,0
حساس هيتر وان*,,0,85,75,65,0,0
تايمر كومفورت وان*,,0,1250,1250,1150,0,0
بوردة 5 زرار l وان *,,0,2100,2000,1900,0,0
بليه6204 وان *,,0,130,120,110,0,0
اكس سامسونج بطحين وان *,,0,1550,1500,1400,0,0
اكس سامسونج مشرشر وان *,,0,1550,1500,1400,0,0
اكس g20 وان *,,0,1100,1050,1000,0,0
اكس شارب وان *,,0,1500,1450,1400,0,0
اويل سيل  وان *,,0,90,80,70,0,0
1,,0,0,0,0,0,0
ثرموستات فريزر اصلي*,الكترولوكس,0,350,320,300,0,0
فلتر نحاس*,الكترولوكس,0,45,35,30,0,0
صمام زاويه اصلي *,الكترولوكس,0,140,120,110,0,0
ثرموستات سخان اصلي *,,0,200,180,160,0,0
سير غساله 800 اصلي*,الكترولوكس,0,300,285,275,0,0
جيوان 20 اكواتيك *,الكترولوكس,0,600,600,550,0,0
طقم صيانه رومان بلي 6204 18 ب,الكترولوكس,0,250,235,225,0,0
جيربوكس غساله تحميل علوي 7.5 ك*,الكترولوكس,0,1150,1100,1000,0,0
سير 20 اكوا اصلي *,الكترولوكس,0,300,285,275,0,0
ميزان مايه  اليجنس*,الكترولوكس,0,270,250,225,0,0
بوردة زانوسي فوق اتوماتيك*,الكترولوكس,1450,1500,0,1350,0,0
شربون غساله فيكتوريا اصلي *,الكترولوكس,0,570,570,550,0,0
كارته 7ك iz اصلي *,الكترولوكس,0,2850,2800,2750,0,0
خرطوت تقليب اكوا اصلي *,الكترولوكس,0,130,120,110,0,0
بادي فيكتوريا صاج 7ك اصلي *,الكترولوكس,0,3100,3000,2750,0,0
طقم مساعين اكوا بدون تغليف 1,متنوع,10,200,170,160,0,0
طقم مساعدين عبد بدون تغليف 1,متنوع,10,200,170,160,0,0
صمام عدل سيرفس 1,العبودي,10,145,135,125,0,0
بلي 6203 ntn,متنوع,40,60,50,40,0,0
لوك اكوا سيرفس 1,العبودي,6,230,200,185,0,0
بليه 6203 ddu*,,1000,0,0,0,0,0
بليه 6205 dduc3*,,1000,0,0,0,0,0
اويل سيل 14 تيوان,,20,0,0,0,0,0
اويل سيل 18 تيوات*,,1000,0,0,0,0,0
اويل سيل 18 تيوان,,5,0,0,0,0,0
اويل سيل 18 ايطالي,العبودي,10,0,0,0,0,0
اويل سيل هاف عصارة استار*,استار,10,0,0,0,0,0
اويل سيل 12 ك عصاره عبودي*,,1000,0,0,0,0,0
اويل سيل 5ك عصاره سيرفس*,,1000,0,0,0,0,0
مكثف 12 صيني*,,1000,0,0,0,0,0
مكثف 5 صيني*,,1000,0,0,0,0,0
سير 1164 استار,استار,1000,0,0,0,0,0
طقم رجل خشن كوتش رفيع*,,1000,0,0,0,0,0
طقم رجل ناعم كوتش عالي*,,1000,0,0,0,0,0
سير زانوسي 14 سيرفس *,,1000,0,0,0,0,0
بادي 8ك يونس صاج تقيل,,1000,0,0,0,0,0
بادي استالس,,1000,0,0,0,0,0
اكره توشيبا الوان *,,1000,10,5,3,0,0
شاسيه علوي 10ك 12ك*,,0,80,70,60,0,0
بادي 8ك يونس استالس تقيل,,1000,0,0,0,0,0
بادي استالس حر 1190&9790*,,0,950,920,870,0,0
بادي صاج فوق اتوماتيك 1190&9790*,,0,750,710,665,0,0
بادي 5ك صاج تقيل جدا شركه*,,0,430,400,360,0,0
بادي 8ك صاج *,,0,650,610,570,0,0
بادي 8 ك حر ثقيل جدا*,,0,850,810,770,0,0
بادي 8ك حر تقيل*,,0,850,810,770,0,0
جيربوكس ال جي سيرفس **,العبودي,0,0,0,132,0,0
لوك ايديال كمفورت سيرفس*,العبودي,0,0,0,98,0,0
اويل سيل 65.55*35*10 سيرفس *,العبودي,0,0,0,116,0,0
جيربوكس يونيفرسال 10ك سيرفس*,العبودي,0,0,0,961,0,0
جيربوكس زانوسي 9ك سيرفس *,العبودي,0,0,0,961,0,0
جريبوكس سامسونج سيرفس*,العبودي,0,0,0,846,0,0
لوك اكوا سيرفس,العبودي,0,0,0,0,0,0
عود فضة *,,1000,0,0,0,0,0
بلف شحن*,,1000,0,0,0,0,0
جربوكس هاف 6  مسمار  مربع *,,1000,0,0,0,0,0
جربوكس هاف 6  مسمار  مشرشر*,,1000,0,0,0,0,0
جربوكس هاف توشيبا*,,1000,0,0,0,0,0
جربوكس صاجة كامله زور عالي واسع 7 مسمار mma*,,1000,0,0,0,0,0
جربوكس نص صاجة زور واطي 4 مسمار  كمال*,,1000,0,0,0,0,0
جربوكس سامسونج gm *,,1000,0,0,0,0,0
جربوكس وايت بوينت نص *,,1000,0,0,0,0,0
جربوكس صاجة كامله يونفرسل اكس قصير *,,1000,0,0,0,0,0
جربوكس 6مسمار اكس طويل عبودي صاجه كامله*,,1000,0,0,0,0,0
جربوكس 4مسمار زانوسي*,,1000,0,0,0,0,0
جربوكس 6مسمار زانوسي *,,1000,0,0,0,0,0
مروحة 16 قسيس *,,1000,0,0,0,0,0
موتور انتشار قسيس *,,1000,0,0,0,0,0
كابلاري,,1000,0,0,0,0,0
تايمر فريش 3 طرف درجة اولي *,,1000,0,0,0,0,0
تايمر 3 طر ف فريش*,,1000,0,0,0,0,0
تايمر 6 ك فريش اصلي*,,1000,0,0,0,0,0
اكرة توشيبا قطعتين*,,0,0,0,6,0,0
طقم مسمار فريجيدير 8 قطعة سيرفس *,العبودي,0,0,0,57,0,0
طقم فريم ايليت سرفس*,العبودي,0,0,0,102,0,0
طرد ضيق بكوع 3 سيرفس*,العبودي,0,0,0,45,0,0
اكره متعدد سيرفس,العبودي,0,0,0,9,0,0
طنبوره ماتور 9*17سيرفس*,العبودي,0,0,0,51,0,0
مساعد يونيفرسال 9ك سيرفس*,العبودي,0,0,0,114,0,0
حله اكواتك,متنوع,2,650,600,550,0,0
ثرموستات اكواتك 1,متنوع,4,100,80,50,0,0
سير 1287,حاتم سيف,2,0,0,0,0,0
كابلري,حاتم سيف,2,0,0,0,0,0
اكس فيكتوريا,,2,0,0,0,0,0
فربون طيبه,,12,0,0,0,0,0
رليه باريس,متنوع,20,0,0,0,0,0
اوفر باريس,متنوع,10,0,0,0,0,0
بايمتل ثرموديثك,,25,0,0,0,0,0
سير 12402,,1,0,0,0,0,0
ثيرموثت M2,,1,0,0,0,0,0
